CPF,Nome,Idade,Sexo,Email,Nota ENEM,Abandono,Qual Semestre,CRA após o 2º Semestre,CRA após o 4º Semestre,CRA após o 6º Semestre
52421745257,Anthony Bradshaw,26,Feminino,costarobert@example.com,716,False,,7.19,9.98,9.5
80197789708,James Cantu,24,Masculino,kevincrawford@example.net,680,True,2.0,6.95,8.57,5.6
70391555926,Karen Weeks,19,Feminino,avang@example.com,696,True,4.0,5.65,8.87,5.61
64197146962,Rachael Walsh,23,Feminino,bullockrenee@example.com,703,True,7.0,6.11,7.41,8.75
50027884117,Nicole Morris,19,Feminino,ashleywagner@example.org,738,False,,9.6,7.89,9.92
96172214789,Johnathan Small,25,Masculino,pmoreno@example.com,727,False,,6.0,8.68,9.14
15236677092,Melissa Olson,21,Feminino,ericasmith@example.com,716,False,,6.36,6.2,9.9
22148889025,Jennifer Sanchez,27,Feminino,thompsonbrandon@example.com,724,True,5.0,7.55,8.14,6.59
24017336458,Mr. Keith Scott,22,Feminino,john12@example.org,683,False,,8.33,7.14,8.34
31004074555,Brittany Blackwell,18,Masculino,douglaspeterson@example.net,753,True,6.0,7.6,7.98,7.34
42328523070,Samantha Davis,21,Feminino,tbaxter@example.net,646,True,8.0,7.76,7.24,7.1
1091822152,Ashley Weber,28,Masculino,hortoncynthia@example.net,715,False,,7.1,6.27,7.54
47939279321,Cody Hanson,23,Masculino,michaelrussell@example.com,793,True,1.0,9.29,7.76,5.41
67184731793,Gary Barker,22,Feminino,bruceschroeder@example.com,760,True,4.0,7.79,9.9,9.44
70386945801,Kim Miller,25,Feminino,chrisnorton@example.org,709,False,,9.11,5.7,6.88
71332970422,Kara Hahn,23,Feminino,thomas76@example.net,713,False,,8.55,9.85,9.4
78493368473,Brandi Carr,19,Masculino,vazquezjoseph@example.org,791,True,8.0,5.52,7.45,6.0
67221643993,David Kelly,22,Masculino,jordanbryan@example.org,716,False,,8.6,8.2,9.48
604759309,Dr. Tamara Tran,24,Masculino,theodore47@example.net,646,False,,8.38,8.75,6.51
81621644732,Julie Adams,23,Feminino,huntjeffery@example.net,720,True,1.0,8.7,6.53,9.54
42639191052,Cristina Mcmahon,24,Feminino,rmosley@example.net,671,False,,8.73,5.33,6.18
90257659578,Alexis Rios MD,25,Masculino,ronald10@example.com,713,False,,9.22,5.48,9.83
45554444218,Brian Taylor,25,Masculino,mckenziestacy@example.org,780,False,,8.77,6.69,8.48
91143333361,Sara Williams,27,Feminino,tmendez@example.net,670,True,2.0,5.0,8.59,9.33
63183575958,Jill Hernandez,25,Feminino,catherineoliver@example.com,669,False,,6.37,6.4,9.47
87894778485,James Salazar,27,Feminino,harringtonlaura@example.com,659,False,,6.8,8.31,6.99
22662484403,Elizabeth West,27,Masculino,tavery@example.com,777,True,5.0,7.28,9.98,9.9
77855416832,Sabrina Robinson,21,Feminino,rreynolds@example.org,786,True,3.0,9.2,7.8,9.95
8925106239,Amy Phillips,27,Masculino,lisa36@example.org,664,False,,9.42,7.97,6.49
64824905990,David Harris,24,Masculino,raymond52@example.org,678,False,,9.72,5.38,6.48
21542355274,Mitchell Schneider,25,Masculino,lydiajones@example.net,672,False,,8.18,8.66,6.25
67537106416,John Carpenter,26,Feminino,laceydunn@example.com,790,False,,6.93,6.36,6.54
37524885087,Laura Burgess,22,Feminino,rthompson@example.com,658,False,,7.24,9.91,6.12
83369750731,Amy Patrick,18,Feminino,wchase@example.com,696,False,,5.61,6.16,5.74
40071485791,Christine White,20,Feminino,wongdonald@example.com,765,False,,6.13,7.3,9.27
71437507575,Dr. Ellen Anthony,21,Masculino,daviddavis@example.com,770,False,,9.22,5.15,9.58
98008095176,Gabrielle Smith,24,Masculino,andrea00@example.net,752,False,,6.53,6.17,6.46
84976333250,Jessica Wright,26,Feminino,donaldpeterson@example.com,727,False,,7.67,9.16,9.98
67043206471,Benjamin Rivera,26,Masculino,michelle92@example.net,697,False,,6.29,5.85,7.89
99299462784,Ana Lopez,28,Feminino,stephaniemooney@example.com,640,False,,7.1,9.87,7.24
30134293544,Raymond Nelson,20,Feminino,anthonyhorn@example.org,674,False,,5.2,7.57,6.24
65053436262,Amanda Brown,20,Feminino,zjohnson@example.org,660,True,3.0,6.8,8.51,7.81
24295491703,Derek Combs,19,Masculino,lyonsdominic@example.org,662,True,1.0,5.55,8.29,6.82
67461584535,Jeffrey Olson,25,Feminino,jasondaugherty@example.com,779,True,7.0,6.55,9.65,6.44
402039596,Cynthia Martinez,26,Feminino,kgomez@example.com,787,True,3.0,6.7,6.38,9.93
15306762859,Todd Valdez,28,Masculino,chorton@example.org,701,True,7.0,5.28,5.1,7.3
26056346148,Sharon Adams,18,Masculino,trussell@example.net,655,True,7.0,9.51,5.48,6.51
95237762406,Aaron Johnson,23,Masculino,elizabeth58@example.net,643,True,7.0,7.51,9.68,9.92
50257143225,Penny Bowman,21,Feminino,lisapotts@example.com,759,False,,9.36,7.6,5.21
46358843135,Rebecca Clark,18,Feminino,pattonanna@example.net,770,False,,5.47,6.86,9.16
58941324528,Angela Ramos,26,Feminino,heather86@example.net,753,False,,9.1,9.49,7.63
24813185120,Jeanne Moore,23,Masculino,manningtimothy@example.org,682,True,1.0,7.3,7.67,9.82
57118263824,Jessica Jacobs,19,Feminino,gregory93@example.com,743,True,4.0,8.7,6.5,5.42
35154319039,Sabrina Thomas,26,Feminino,lhanson@example.net,708,False,,9.77,5.95,9.26
32721133795,Amber Smith,19,Masculino,kathryngraham@example.net,682,False,,7.6,6.27,6.19
94056332505,Kenneth Cohen,20,Masculino,terriaguirre@example.net,667,False,,5.93,9.54,5.29
46302191625,Elizabeth Smith,20,Feminino,bennettkimberly@example.org,738,True,2.0,9.28,7.95,9.63
67462918262,Angela Woods,26,Feminino,tonynelson@example.org,685,False,,9.2,9.91,7.88
5978987769,Eric Wright,22,Feminino,david16@example.com,679,True,6.0,7.53,6.1,9.2
52537475630,Michael Ramos,22,Feminino,xcruz@example.com,784,False,,9.94,9.31,5.9
64409508823,Larry Simmons,20,Masculino,nelsonedward@example.net,709,False,,6.78,5.4,8.68
39932643829,Theresa Mendez,27,Feminino,vduncan@example.net,706,False,,7.8,5.8,8.85
65067846558,Brian Jones,26,Feminino,vjackson@example.com,792,False,,6.11,7.8,6.77
11249612382,Lisa Petty,19,Feminino,susan49@example.net,683,False,,8.86,6.65,7.52
50618489945,Tracy Lara,26,Feminino,bradleykenneth@example.net,655,False,,6.88,9.92,8.54
61649122626,Hunter Ayala,28,Masculino,jennifer14@example.net,774,False,,8.91,6.88,9.56
69707505103,Joshua Garza,25,Feminino,michelle53@example.org,761,True,7.0,5.2,7.86,7.32
55781898038,Kelsey Sutton,23,Feminino,esantiago@example.org,784,True,3.0,5.73,8.67,8.52
63744608865,Becky Stone,21,Masculino,sanchezsharon@example.com,668,False,,8.74,7.46,7.6
13866544970,Michael Kim,24,Masculino,jennamccoy@example.com,762,True,7.0,8.45,5.53,5.66
75014563261,Erin Miles,25,Masculino,anthonyolsen@example.com,714,True,5.0,7.16,6.72,7.69
14248783603,Anna Jackson,23,Feminino,ccox@example.com,734,False,,5.73,5.21,7.38
32451900446,Matthew Smith,28,Feminino,osbornejessica@example.net,710,False,,8.71,5.18,7.93
21765131956,John Gallegos,25,Feminino,tylerbryant@example.com,728,False,,9.64,8.6,6.85
30513739418,Cody Smith,25,Feminino,abigailwilliams@example.org,720,False,,8.95,8.24,8.54
38823845486,Joanna Stephens,25,Feminino,ecarroll@example.org,691,False,,5.78,8.71,5.85
31069187956,Jessica Anderson,18,Feminino,smithandrea@example.org,772,False,,8.53,9.91,6.54
43115138895,Travis Lewis,26,Masculino,philipdavis@example.net,720,False,,7.9,8.0,8.43
53315532430,David Ramos,28,Masculino,nmorrison@example.org,640,True,2.0,9.85,9.66,9.42
88973776966,James Wood,26,Feminino,jhall@example.com,681,True,4.0,7.61,5.79,8.17
6838274829,Samantha Yoder,21,Feminino,kylevillarreal@example.net,678,False,,6.66,6.39,6.28
36596143980,Jacqueline Warner,19,Feminino,smithkevin@example.net,776,True,1.0,7.7,9.3,9.1
7067011220,Karen Garcia,18,Masculino,dlee@example.com,739,False,,9.65,9.11,8.42
40474156248,Dr. Nicholas Morales,23,Masculino,elizabeth69@example.org,773,False,,9.27,6.7,7.56
98935391588,Johnathan Villarreal,20,Masculino,jonathan57@example.com,778,False,,9.69,8.75,9.1
87112731093,Morgan Ramirez,28,Feminino,evanstimothy@example.com,697,True,8.0,8.25,9.75,6.27
17589142105,Andrew Garcia,25,Feminino,mary40@example.net,714,False,,6.4,9.36,8.69
79756923711,Melissa Lynch,25,Feminino,jphillips@example.com,735,False,,7.66,7.69,6.29
51724729974,Jessica Oliver,28,Feminino,wilsondebra@example.net,768,True,3.0,8.51,7.7,7.86
93337843212,Teresa Wu,19,Feminino,bgriffin@example.com,679,True,6.0,5.79,5.57,5.23
45068975430,Carol Reyes,24,Masculino,wandaburns@example.org,675,True,4.0,5.9,5.9,5.68
9336185217,Zachary Buchanan MD,18,Feminino,marquezkaren@example.com,797,False,,6.35,9.37,9.6
92318533254,Michael Sharp,18,Masculino,mark83@example.com,800,False,,6.93,6.78,7.41
37325768595,Ana Michael,26,Feminino,burgessjoseph@example.org,769,False,,7.89,6.12,7.15
65463225892,Nancy Meyer,22,Masculino,megancollins@example.org,701,True,4.0,9.95,8.14,7.92
93289081055,Anthony Osborn,21,Feminino,harold51@example.org,705,False,,6.39,5.95,9.13
52671764350,Michael Potts,23,Feminino,regina66@example.com,757,False,,8.36,7.96,6.68
39744637470,Brian Burns,28,Feminino,georgegarcia@example.org,752,False,,7.72,9.73,5.1
63029867160,Valerie Carpenter,27,Masculino,glassscott@example.net,642,False,,5.48,5.85,8.89
88916598212,Mark Rosario,27,Feminino,jmontoya@example.net,786,False,,5.86,8.54,7.9
40544189156,Angela Berry,19,Feminino,kevin25@example.org,699,True,4.0,7.54,5.46,5.73
60302580588,Maria Gill,28,Feminino,thomas93@example.com,674,False,,7.41,8.81,5.3
93538763630,Stanley Norton,24,Masculino,amoyer@example.com,766,False,,5.99,9.4,9.63
9160260794,Robert Porter,26,Feminino,tgray@example.com,648,False,,6.91,7.97,9.2
56855961322,Michael Villanueva,24,Masculino,jjackson@example.com,788,True,7.0,9.36,8.9,8.55
93419515954,Lisa Mcclain,27,Feminino,lambertpeter@example.net,727,False,,7.59,5.43,7.12
71818851221,Don Miller,19,Masculino,paigegoodwin@example.net,669,True,7.0,7.7,5.53,7.9
47735752303,Samuel Pena,28,Masculino,gkelly@example.com,691,False,,5.64,6.29,8.94
50147799884,Andrew Santos,20,Feminino,williamsphyllis@example.org,790,False,,9.71,5.18,5.76
29175419268,Carrie Gibson,22,Feminino,gilberttammy@example.org,655,False,,6.97,5.91,5.65
62890223409,Michael Robinson,22,Feminino,derrick07@example.net,699,False,,5.8,7.1,9.25
68886854911,Carol Mora,23,Masculino,katherinecurry@example.net,748,True,2.0,5.28,5.58,7.51
4320137193,Thomas Wells,21,Masculino,brenda04@example.org,690,False,,7.2,5.99,8.85
7024798906,Julie Stewart,24,Masculino,craigjohnson@example.org,706,True,6.0,5.34,6.16,5.47
96245473610,Steven Ross,27,Feminino,sheri26@example.org,729,False,,7.64,6.19,8.79
88329516215,Christopher Wilkins,23,Feminino,johnsonsergio@example.com,658,False,,6.36,8.81,5.25
35888996566,Carolyn Bell,22,Feminino,ryan09@example.org,717,True,5.0,5.82,6.72,8.3
